LAT,LON
-24.954679,-53.465152
-24.726212,-53.739170
-25.509893,-54.593068
-24.559032,-54.058255
-24.077362,-54.236536
-23.754849,-53.310929
-23.430247,-51.934542
-23.306952,-51.174838
-24.038275,-52.373240
-25.394965,-51.468942
-25.095581,-50.159113
-25.442185,-49.258462
-25.510484,-48.517763
-26.218375,-52.676530
-26.074735,-53.052631
-26.479277,-51.990648
-26.423526,-51.312708
